id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
liverpool-osm-36ea07f2,Wirral Ark,shelter,"7 Sidney Street, Birkenhead, CH41 1BF",53.3954356,-3.0172057,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/157731534
liverpool-osm-b735940a,The Pinewoods,medical,"Rose Lane, Liverpool",53.378613,-2.9171946,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/971392476
liverpool-osm-9f8b4d7b,Womens Center M.W.Y.S. & E.F.,shelter,,53.3956521,-2.9579191,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/1311059304
